id,first_name,last_name,full_name,team,position,status,hashtag,gsis_id,sleeper_id,sportradar_id,stats_id,swish_id,yahoo_id,rotowire_id,rotoworld_id,espn_id,fantasy_data_id
1,Daniel,Jones,Daniel Jones,NYG,QB,Active,#danieljones-NFL-NYG-8, 00-0035710,5870,0042266b-cb28-4012-bfd2-06650badad97,879981,879981,31838,13491,13963,3917792,20841
2,Kyric,McGowan,Kyric McGowan,WAS,WR,Active,#kyricmcgowan-NFL-WAS-83,,8595,c1ebe1f0-ca62-11ec-bdda-4fe5bed84950,,1055267,,16360,,,
3,Michael,Thomas,Michael Thomas,NO,WR,Inactive,#michaelthomas-NFL-NO-13,00-0032765,3199,90c1756d-1f47-41b7-89fe-b113c9850bc1,653699,653699,29281,10759,11222,2976316,17960
4,Makai,Polk,Makai Polk,NYG,WR,Active,#makaipolk-NFL-NYG-87,,8209,cbf4b630-c97d-11ec-a1a0-57a82b503f37,,1161426,,16099,,,
5,Malik,Turner,Malik Turner,SF,WR,Active,#malikturner-NFL-SF-17,00-0034867,5781,82a7e1ff-019a-4f4b-aeb6-c41420e44891,830686,830686,31777,13378,13906,3115928,20684
6,Michael,Warren,Michael Warren,DET,RB,Inactive,#michaelwarren-NFL-DET-0,,6992,4a096c4e-7738-43b3-984c-7ea604a96742,,,32972,14496,,4239083,21793
7,Calvin,Ridley,Calvin Ridley,ATL,WR,Inactive,#calvinridley-NFL-ATL-18,00-0034837,4981,926e2674-52d6-4cec-9991-46ee85cc8cfd,884013,884013,30996,12616,13137,3925357,19802
8,Kalil,Pimpleton,Kalil Pimpleton,NYG,WR,Active,#kalilpimpleton-NFL-NYG-81,,8248,580225c0-d321-11ec-8b77-45b1765fd110,,976983,,16168,,,
9,Albert,Wilson,Albert Wilson,LV,WR,Active,#albertwilson-NFL-LV-0,00-0030669,2025,2958ea86-e2dc-4719-93e5-cc9d093ca963,556955,556955,28046,9491,9572,17051,16308
10,Trent,Taylor,Trent Taylor,CIN,WR,Active,#trenttaylor-NFL-CIN-11,00-0033292,4218,3e2e74e9-18a8-4275-9437-b275db27e2ff,733849,733849,30290,11881,12305,3040569,19064
11,Demetric,Felton,Demetric Felton,CLE,RB,Active,#demetricfelton-NFL-CLE-25,,7609,0752f1c9-fc3e-44bc-b6ad-03f8f7f4191c,,914812,,15266,,,
12,MyCole,Pruitt,MyCole Pruitt,ATL,TE,Active,#mycolepruitt-NFL-ATL-85,00-0031585,2446,f22b34cf-6ecf-4522-9c77-1da275dfda7d,552586,552586,28531,10251,,2508256,16903
13,John,Kelly,John Kelly,CLE,RB,Active,#johnkelly-NFL-CLE-41,00-0034808,5076,27156b0b-e82d-4d02-8a04-ca1891d77110,879766,879766,31145,12555,13212,3915381,19957
14,Colt,McCoy,Colt McCoy,ARI,QB,Inactive,#coltmccoy-NFL-ARI-12,00-0027688,533,3699dfd9-d437-43f7-b674-adbb31e7e64b,306296,306296,24060,6444,5699,13199,11047
15,Chris,Lacy,Chris Lacy,LV,WR,Active,#chrislacy-NFL-LV-14,00-0034593,5661,b2c4ef6b-4caf-4f4e-9cdd-3bd9f2e38d01,835417,835417,31651,12952,,3122430,20511
