id,name,location,short_location,nickname,slug,team_color,team_color2,team_color3,team_color4,team_logo_wiki,team_logo_espn,team_wordmark,nfl_id,nfl_abbr,dk_id,dk_abbr,pfr_abbr,pff_id,pff_abbr,fo_abbr
1,Arizona Cardinals,Arizona,Arizona,Cardinals,arizona-cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ARI.png,3800,ARI,355,ARI,CRD,1,ARZ,ARI
2,Atlanta Falcons,Atlanta,Atlanta,Falcons,atlanta-falcons,#a71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/ATL.png,200,ATL,323,ATL,ATL,2,ATL,ATL
3,Baltimore Ravens,Baltimore,Baltimore,Ravens,baltimore-ravens,#241773,#000000,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/BAL.png,325,BAL,366,BAL,RAV,3,BLT,BAL
4,Buffalo Bills,Buffalo,Buffalo,Bills,buffalo-bills,#00338d,#c60c30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/BUF.png,610,BUF,324,BUF,BUF,4,BUF,BUF
5,Carolina Panthers,Carolina,Carolina,Panthers,carolina-panthers,#0085ca,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CAR.png,750,CAR,364,CAR,CAR,5,CAR,CAR
6,Chicago Bears,Chicago,Chicago,Bears,chicago-bears,#0b162a,#c83803,#0b162a,#c83803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CHI.png,810,CHI,326,CHI,CHI,6,CHI,CHI
7,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,cincinnati-bengals,#000000,#fb4f14,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CIN.png,920,CIN,327,CIN,CIN,7,CIN,CIN
8,Cleveland Browns,Cleveland,Cleveland,Browns,cleveland-browns,#fb4f14,#22150c,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/CLE.png,1050,CLE,329,CLE,CLE,8,CLV,CLE
9,Dallas Cowboys,Dallas,Dallas,Cowboys,dallas-cowboys,#002244,#b0b7bc,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/DAL.png,1200,DAL,331,DAL,DAL,9,DAL,DAL
10,Denver Broncos,Denver,Denver,Broncos,denver-broncos,#002244,#fb4f14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://github.com/guga31bb/nflfastR-data/raw/master/wordmarks/DEN.png,1400,DEN,332,DEN,DEN,10,DEN,DEN
